concern_id,primary_focus,count
HIGH_NOTE_CANNOT_REACH,REGISTER_CONNECTION,51
HIGH_NOTE_CANNOT_REACH,HIGH_NOTE,22
HIGH_NOTE_TOO_EFFORTFUL,EFFORT,5
HIGH_NOTE_TOO_EFFORTFUL,REGISTER_CONNECTION,67
HIGH_NOTE_TOO_EFFORTFUL,MAINTAIN,1
HIGH_NOTE_FLIPS,REGISTER_CONNECTION,73
HIGH_NOTE_THINS,REGISTER_CONNECTION,31
HIGH_NOTE_THINS,MAINTAIN,20
HIGH_NOTE_THINS,PRESENCE,21
HIGH_NOTE_THINS,CONTACT,1
HIGH_NOTE_UNSTABLE,EFFORT,5
HIGH_NOTE_UNSTABLE,REGISTER_CONNECTION,46
HIGH_NOTE_UNSTABLE,STABILITY,22
THROAT_EFFORT,EFFORT,27
THROAT_EFFORT,REGISTER_CONNECTION,46
LOUD_VOICE_DIFFICULT,EFFORT,27
LOUD_VOICE_DIFFICULT,REGISTER_CONNECTION,46
VOCAL_FATIGUE,EFFORT,27
VOCAL_FATIGUE,REGISTER_CONNECTION,46
AFTER_SINGING_FATIGUE,EFFORT,27
AFTER_SINGING_FATIGUE,REGISTER_CONNECTION,46
TIMBRE_DISSATISFIED,EFFORT,2
TIMBRE_DISSATISFIED,REGISTER_CONNECTION,22
TIMBRE_DISSATISFIED,TIMBRE,49
VOICE_TOO_THIN,REGISTER_CONNECTION,31
VOICE_TOO_THIN,MAINTAIN,20
VOICE_TOO_THIN,PRESENCE,21
VOICE_TOO_THIN,CONTACT,1
VOICE_TOO_DARK_MUFFLED,EFFORT,1
VOICE_TOO_DARK_MUFFLED,REGISTER_CONNECTION,24
VOICE_TOO_DARK_MUFFLED,PRESENCE,22
VOICE_TOO_DARK_MUFFLED,BRIGHTNESS,26
VOICE_TOO_NASAL_PERCEPT,REGISTER_CONNECTION,31
VOICE_TOO_NASAL_PERCEPT,TIMBRE,21
VOICE_TOO_NASAL_PERCEPT,PRESENCE,21
VOICE_TOO_BREATHY,EFFORT,2
VOICE_TOO_BREATHY,REGISTER_CONNECTION,22
VOICE_TOO_BREATHY,MAINTAIN,19
VOICE_TOO_BREATHY,TIMBRE,26
VOICE_TOO_BREATHY,CONTACT,3
VOICE_TOO_BREATHY,BREATHINESS,1
VOICE_TOO_SHARP,EFFORT,1
VOICE_TOO_SHARP,REGISTER_CONNECTION,23
VOICE_TOO_SHARP,TIMBRE,21
VOICE_TOO_SHARP,MAINTAIN,26
VOICE_TOO_SHARP,BRIGHTNESS,1
VOICE_TOO_SHARP,PRESENCE,1
VOICE_ROUGH,CONTACT,12
VOICE_ROUGH,REGISTER_CONNECTION,14
VOICE_ROUGH,STABILITY,46
VOICE_ROUGH,BREATHINESS,1
TIMBRE_CHANGES_HIGH,REGISTER_CONNECTION,73
PITCH_UNSTABLE,EFFORT,5
PITCH_UNSTABLE,REGISTER_CONNECTION,46
PITCH_UNSTABLE,STABILITY,22
REGISTER_CONNECTION_DIFFICULT,REGISTER_CONNECTION,51
REGISTER_CONNECTION_DIFFICULT,STABILITY,22
VIBRATO_UNSTABLE,STABILITY,73
DYNAMICS_DIFFICULT,DYNAMICS,73
PHRASE_END_WEAK,DYNAMICS,73
PAIN_WHILE_SINGING,SAFETY,73
PAIN_AFTER_SINGING,SAFETY,73
SPEAKING_DISCOMFORT,SAFETY,73
PERSISTENT_HOARSENESS,SAFETY,73
OTHER_CONCERN,EFFORT,2
OTHER_CONCERN,REGISTER_CONNECTION,22
OTHER_CONCERN,MAINTAIN,49
